quantile,model,weight,location
0.01,CEID-Walk,0.01894286736637917,01
0.01,CEID-Walk,0.01894286736637917,02
0.01,CEID-Walk,0.01894286736637917,04
0.01,CEID-Walk,0.01894286736637917,05
0.01,CEID-Walk,0.01894286736637917,06
0.01,CEID-Walk,0.01894286736637917,08
0.01,CEID-Walk,0.01894286736637917,09
0.01,CEID-Walk,0.01894286736637917,10
0.01,CEID-Walk,0.01894286736637917,11
0.01,CEID-Walk,0.01894286736637917,12
0.01,CEID-Walk,0.01894286736637917,13
0.01,CEID-Walk,0.01894286736637917,15
0.01,CEID-Walk,0.01894286736637917,16
0.01,CEID-Walk,0.01894286736637917,17
0.01,CEID-Walk,0.01894286736637917,18
0.01,CEID-Walk,0.01894286736637917,19
0.01,CEID-Walk,0.01894286736637917,20
0.01,CEID-Walk,0.01894286736637917,21
0.01,CEID-Walk,0.01894286736637917,22
0.01,CEID-Walk,0.01894286736637917,23
0.01,CEID-Walk,0.01894286736637917,24
0.01,CEID-Walk,0.01894286736637917,25
0.01,CEID-Walk,0.01894286736637917,26
0.01,CEID-Walk,0.01894286736637917,27
0.01,CEID-Walk,0.01894286736637917,28
0.01,CEID-Walk,0.01894286736637917,29
0.01,CEID-Walk,0.01894286736637917,30
0.01,CEID-Walk,0.01894286736637917,31
0.01,CEID-Walk,0.01894286736637917,32
0.01,CEID-Walk,0.01894286736637917,33
0.01,CEID-Walk,0.01894286736637917,34
0.01,CEID-Walk,0.01894286736637917,35
0.01,CEID-Walk,0.01894286736637917,36
0.01,CEID-Walk,0.01894286736637917,37
0.01,CEID-Walk,0.01894286736637917,38
0.01,CEID-Walk,0.01894286736637917,39
0.01,CEID-Walk,0.01894286736637917,40
0.01,CEID-Walk,0.01894286736637917,41
0.01,CEID-Walk,0.01894286736637917,42
0.01,CEID-Walk,0.01894286736637917,44
0.01,CEID-Walk,0.01894286736637917,45
0.01,CEID-Walk,0.01894286736637917,46
0.01,CEID-Walk,0.01894286736637917,47
0.01,CEID-Walk,0.01894286736637917,48
0.01,CEID-Walk,0.01894286736637917,49
0.01,CEID-Walk,0.01894286736637917,50
0.01,CEID-Walk,0.01894286736637917,51
0.01,CEID-Walk,0.01894286736637917,53
0.01,CEID-Walk,0.01894286736637917,54
0.01,CEID-Walk,0.01894286736637917,55
0.01,CEID-Walk,0.01894286736637917,56
0.01,CEID-Walk,0.01894286736637917,60
0.01,CEID-Walk,0.01894286736637917,66
0.01,CEID-Walk,0.01894286736637917,69
0.01,CEID-Walk,0.01894286736637917,72
0.01,CEID-Walk,0.01894286736637917,78
0.025,CEID-Walk,0.01894286736637917,01
0.025,CEID-Walk,0.01894286736637917,02
0.025,CEID-Walk,0.01894286736637917,04
0.025,CEID-Walk,0.01894286736637917,05
0.025,CEID-Walk,0.01894286736637917,06
0.025,CEID-Walk,0.01894286736637917,08
0.025,CEID-Walk,0.01894286736637917,09
0.025,CEID-Walk,0.01894286736637917,10
0.025,CEID-Walk,0.01894286736637917,11
0.025,CEID-Walk,0.01894286736637917,12
0.025,CEID-Walk,0.01894286736637917,13
0.025,CEID-Walk,0.01894286736637917,15
0.025,CEID-Walk,0.01894286736637917,16
0.025,CEID-Walk,0.01894286736637917,17
0.025,CEID-Walk,0.01894286736637917,18
0.025,CEID-Walk,0.01894286736637917,19
0.025,CEID-Walk,0.01894286736637917,20
0.025,CEID-Walk,0.01894286736637917,21
0.025,CEID-Walk,0.01894286736637917,22
0.025,CEID-Walk,0.01894286736637917,23
0.025,CEID-Walk,0.01894286736637917,24
0.025,CEID-Walk,0.01894286736637917,25
0.025,CEID-Walk,0.01894286736637917,26
0.025,CEID-Walk,0.01894286736637917,27
0.025,CEID-Walk,0.01894286736637917,28
0.025,CEID-Walk,0.01894286736637917,29
0.025,CEID-Walk,0.01894286736637917,30
0.025,CEID-Walk,0.01894286736637917,31
0.025,CEID-Walk,0.01894286736637917,32
0.025,CEID-Walk,0.01894286736637917,33
0.025,CEID-Walk,0.01894286736637917,34
0.025,CEID-Walk,0.01894286736637917,35
0.025,CEID-Walk,0.01894286736637917,36
0.025,CEID-Walk,0.01894286736637917,37
0.025,CEID-Walk,0.01894286736637917,38
0.025,CEID-Walk,0.01894286736637917,39
0.025,CEID-Walk,0.01894286736637917,40
0.025,CEID-Walk,0.01894286736637917,41
0.025,CEID-Walk,0.01894286736637917,42
0.025,CEID-Walk,0.01894286736637917,44
0.025,CEID-Walk,0.01894286736637917,45
0.025,CEID-Walk,0.01894286736637917,46
0.025,CEID-Walk,0.01894286736637917,47
0.025,CEID-Walk,0.01894286736637917,48
0.025,CEID-Walk,0.01894286736637917,49
0.025,CEID-Walk,0.01894286736637917,50
0.025,CEID-Walk,0.01894286736637917,51
0.025,CEID-Walk,0.01894286736637917,53
0.025,CEID-Walk,0.01894286736637917,54
0.025,CEID-Walk,0.01894286736637917,55
0.025,CEID-Walk,0.01894286736637917,56
0.025,CEID-Walk,0.01894286736637917,60
0.025,CEID-Walk,0.01894286736637917,66
0.025,CEID-Walk,0.01894286736637917,69
0.025,CEID-Walk,0.01894286736637917,72
0.025,CEID-Walk,0.01894286736637917,78
0.05,CEID-Walk,0.01894286736637917,01
0.05,CEID-Walk,0.01894286736637917,02
0.05,CEID-Walk,0.01894286736637917,04
0.05,CEID-Walk,0.01894286736637917,05
0.05,CEID-Walk,0.01894286736637917,06
0.05,CEID-Walk,0.01894286736637917,08
0.05,CEID-Walk,0.01894286736637917,09
0.05,CEID-Walk,0.01894286736637917,10
0.05,CEID-Walk,0.01894286736637917,11
0.05,CEID-Walk,0.01894286736637917,12
0.05,CEID-Walk,0.01894286736637917,13
0.05,CEID-Walk,0.01894286736637917,15
0.05,CEID-Walk,0.01894286736637917,16
0.05,CEID-Walk,0.01894286736637917,17
0.05,CEID-Walk,0.01894286736637917,18
0.05,CEID-Walk,0.01894286736637917,19
0.05,CEID-Walk,0.01894286736637917,20
0.05,CEID-Walk,0.01894286736637917,21
0.05,CEID-Walk,0.01894286736637917,22
0.05,CEID-Walk,0.01894286736637917,23
0.05,CEID-Walk,0.01894286736637917,24
0.05,CEID-Walk,0.01894286736637917,25
0.05,CEID-Walk,0.01894286736637917,26
0.05,CEID-Walk,0.01894286736637917,27
0.05,CEID-Walk,0.01894286736637917,28
0.05,CEID-Walk,0.01894286736637917,29
0.05,CEID-Walk,0.01894286736637917,30
0.05,CEID-Walk,0.01894286736637917,31
0.05,CEID-Walk,0.01894286736637917,32
0.05,CEID-Walk,0.01894286736637917,33
0.05,CEID-Walk,0.01894286736637917,34
0.05,CEID-Walk,0.01894286736637917,35
0.05,CEID-Walk,0.01894286736637917,36
0.05,CEID-Walk,0.01894286736637917,37
0.05,CEID-Walk,0.01894286736637917,38
0.05,CEID-Walk,0.01894286736637917,39
0.05,CEID-Walk,0.01894286736637917,40
0.05,CEID-Walk,0.01894286736637917,41
0.05,CEID-Walk,0.01894286736637917,42
0.05,CEID-Walk,0.01894286736637917,44
0.05,CEID-Walk,0.01894286736637917,45
0.05,CEID-Walk,0.01894286736637917,46
0.05,CEID-Walk,0.01894286736637917,47
0.05,CEID-Walk,0.01894286736637917,48
0.05,CEID-Walk,0.01894286736637917,49
0.05,CEID-Walk,0.01894286736637917,50
0.05,CEID-Walk,0.01894286736637917,51
0.05,CEID-Walk,0.01894286736637917,53
0.05,CEID-Walk,0.01894286736637917,54
0.05,CEID-Walk,0.01894286736637917,55
0.05,CEID-Walk,0.01894286736637917,56
0.05,CEID-Walk,0.01894286736637917,60
0.05,CEID-Walk,0.01894286736637917,66
0.05,CEID-Walk,0.01894286736637917,69
0.05,CEID-Walk,0.01894286736637917,72
0.05,CEID-Walk,0.01894286736637917,78
0.1,CEID-Walk,0.01894286736637917,01
0.1,CEID-Walk,0.01894286736637917,02
0.1,CEID-Walk,0.01894286736637917,04
0.1,CEID-Walk,0.01894286736637917,05
0.1,CEID-Walk,0.01894286736637917,06
0.1,CEID-Walk,0.01894286736637917,08
0.1,CEID-Walk,0.01894286736637917,09
0.1,CEID-Walk,0.01894286736637917,10
0.1,CEID-Walk,0.01894286736637917,11
0.1,CEID-Walk,0.01894286736637917,12
0.1,CEID-Walk,0.01894286736637917,13
0.1,CEID-Walk,0.01894286736637917,15
0.1,CEID-Walk,0.01894286736637917,16
0.1,CEID-Walk,0.01894286736637917,17
0.1,CEID-Walk,0.01894286736637917,18
0.1,CEID-Walk,0.01894286736637917,19
0.1,CEID-Walk,0.01894286736637917,20
0.1,CEID-Walk,0.01894286736637917,21
0.1,CEID-Walk,0.01894286736637917,22
0.1,CEID-Walk,0.01894286736637917,23
0.1,CEID-Walk,0.01894286736637917,24
0.1,CEID-Walk,0.01894286736637917,25
0.1,CEID-Walk,0.01894286736637917,26
0.1,CEID-Walk,0.01894286736637917,27
0.1,CEID-Walk,0.01894286736637917,28
0.1,CEID-Walk,0.01894286736637917,29
0.1,CEID-Walk,0.01894286736637917,30
0.1,CEID-Walk,0.01894286736637917,31
0.1,CEID-Walk,0.01894286736637917,32
0.1,CEID-Walk,0.01894286736637917,33
0.1,CEID-Walk,0.01894286736637917,34
0.1,CEID-Walk,0.01894286736637917,35
0.1,CEID-Walk,0.01894286736637917,36
0.1,CEID-Walk,0.01894286736637917,37
0.1,CEID-Walk,0.01894286736637917,38
0.1,CEID-Walk,0.01894286736637917,39
0.1,CEID-Walk,0.01894286736637917,40
0.1,CEID-Walk,0.01894286736637917,41
0.1,CEID-Walk,0.01894286736637917,42
0.1,CEID-Walk,0.01894286736637917,44
0.1,CEID-Walk,0.01894286736637917,45
0.1,CEID-Walk,0.01894286736637917,46
0.1,CEID-Walk,0.01894286736637917,47
0.1,CEID-Walk,0.01894286736637917,48
0.1,CEID-Walk,0.01894286736637917,49
0.1,CEID-Walk,0.01894286736637917,50
0.1,CEID-Walk,0.01894286736637917,51
0.1,CEID-Walk,0.01894286736637917,53
0.1,CEID-Walk,0.01894286736637917,54
0.1,CEID-Walk,0.01894286736637917,55
0.1,CEID-Walk,0.01894286736637917,56
0.1,CEID-Walk,0.01894286736637917,60
0.1,CEID-Walk,0.01894286736637917,66
0.1,CEID-Walk,0.01894286736637917,69
0.1,CEID-Walk,0.01894286736637917,72
0.1,CEID-Walk,0.01894286736637917,78
0.15,CEID-Walk,0,01
0.15,CEID-Walk,0,02
0.15,CEID-Walk,0,04
0.15,CEID-Walk,0,05
0.15,CEID-Walk,0,06
0.15,CEID-Walk,0,08
0.15,CEID-Walk,0,09
0.15,CEID-Walk,0,10
0.15,CEID-Walk,0,11
0.15,CEID-Walk,0,12
0.15,CEID-Walk,0,13
0.15,CEID-Walk,0,15
0.15,CEID-Walk,0,16
0.15,CEID-Walk,0,17
0.15,CEID-Walk,0,18
0.15,CEID-Walk,0,19
0.15,CEID-Walk,0,20
0.15,CEID-Walk,0,21
0.15,CEID-Walk,0,22
0.15,CEID-Walk,0,23
0.15,CEID-Walk,0,24
0.15,CEID-Walk,0,25
0.15,CEID-Walk,0,26
0.15,CEID-Walk,0,27
0.15,CEID-Walk,0,28
0.15,CEID-Walk,0,29
0.15,CEID-Walk,0,30
0.15,CEID-Walk,0,31
0.15,CEID-Walk,0,32
0.15,CEID-Walk,0,33
0.15,CEID-Walk,0,34
0.15,CEID-Walk,0,35
0.15,CEID-Walk,0,36
0.15,CEID-Walk,0,37
0.15,CEID-Walk,0,38
0.15,CEID-Walk,0,39
0.15,CEID-Walk,0,40
0.15,CEID-Walk,0,41
0.15,CEID-Walk,0,42
0.15,CEID-Walk,0,44
0.15,CEID-Walk,0,45
0.15,CEID-Walk,0,46
0.15,CEID-Walk,0,47
0.15,CEID-Walk,0,48
0.15,CEID-Walk,0,49
0.15,CEID-Walk,0,50
0.15,CEID-Walk,0,51
0.15,CEID-Walk,0,53
0.15,CEID-Walk,0,54
0.15,CEID-Walk,0,55
0.15,CEID-Walk,0,56
0.15,CEID-Walk,0,60
0.15,CEID-Walk,0,66
0.15,CEID-Walk,0,69
0.15,CEID-Walk,0,72
0.15,CEID-Walk,0,78
0.2,CEID-Walk,0,01
0.2,CEID-Walk,0,02
0.2,CEID-Walk,0,04
0.2,CEID-Walk,0,05
0.2,CEID-Walk,0,06
0.2,CEID-Walk,0,08
0.2,CEID-Walk,0,09
0.2,CEID-Walk,0,10
0.2,CEID-Walk,0,11
0.2,CEID-Walk,0,12
0.2,CEID-Walk,0,13
0.2,CEID-Walk,0,15
0.2,CEID-Walk,0,16
0.2,CEID-Walk,0,17
0.2,CEID-Walk,0,18
0.2,CEID-Walk,0,19
0.2,CEID-Walk,0,20
0.2,CEID-Walk,0,21
0.2,CEID-Walk,0,22
0.2,CEID-Walk,0,23
0.2,CEID-Walk,0,24
0.2,CEID-Walk,0,25
0.2,CEID-Walk,0,26
0.2,CEID-Walk,0,27
0.2,CEID-Walk,0,28
0.2,CEID-Walk,0,29
0.2,CEID-Walk,0,30
0.2,CEID-Walk,0,31
0.2,CEID-Walk,0,32
0.2,CEID-Walk,0,33
0.2,CEID-Walk,0,34
0.2,CEID-Walk,0,35
0.2,CEID-Walk,0,36
0.2,CEID-Walk,0,37
0.2,CEID-Walk,0,38
0.2,CEID-Walk,0,39
0.2,CEID-Walk,0,40
0.2,CEID-Walk,0,41
0.2,CEID-Walk,0,42
0.2,CEID-Walk,0,44
0.2,CEID-Walk,0,45
0.2,CEID-Walk,0,46
0.2,CEID-Walk,0,47
0.2,CEID-Walk,0,48
0.2,CEID-Walk,0,49
0.2,CEID-Walk,0,50
0.2,CEID-Walk,0,51
0.2,CEID-Walk,0,53
0.2,CEID-Walk,0,54
0.2,CEID-Walk,0,55
0.2,CEID-Walk,0,56
0.2,CEID-Walk,0,60
0.2,CEID-Walk,0,66
0.2,CEID-Walk,0,69
0.2,CEID-Walk,0,72
0.2,CEID-Walk,0,78
0.25,CEID-Walk,0,01
0.25,CEID-Walk,0,02
0.25,CEID-Walk,0,04
0.25,CEID-Walk,0,05
0.25,CEID-Walk,0,06
0.25,CEID-Walk,0,08
0.25,CEID-Walk,0,09
0.25,CEID-Walk,0,10
0.25,CEID-Walk,0,11
0.25,CEID-Walk,0,12
0.25,CEID-Walk,0,13
0.25,CEID-Walk,0,15
0.25,CEID-Walk,0,16
0.25,CEID-Walk,0,17
0.25,CEID-Walk,0,18
0.25,CEID-Walk,0,19
0.25,CEID-Walk,0,20
0.25,CEID-Walk,0,21
0.25,CEID-Walk,0,22
0.25,CEID-Walk,0,23
0.25,CEID-Walk,0,24
0.25,CEID-Walk,0,25
0.25,CEID-Walk,0,26
0.25,CEID-Walk,0,27
0.25,CEID-Walk,0,28
0.25,CEID-Walk,0,29
0.25,CEID-Walk,0,30
0.25,CEID-Walk,0,31
0.25,CEID-Walk,0,32
