forecast_date,target,target_end_date,location,type,quantile,value
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.01,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.025,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.05,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.1,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.15,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.2,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.25,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.3,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.35,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.4,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.45,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.5,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.55,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.6,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.65,0
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.7,1
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.75,1
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.8,1
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.85,1
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.9,1
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.95,1
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.975,1
2020-12-07,1 wk ahead inc death,2020-12-12,60,quantile,0.99,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.01,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.025,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.05,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.1,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.15,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.2,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.25,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.3,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.35,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.4,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.45,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.5,0
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.55,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.6,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.65,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.7,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.75,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.8,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.85,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.9,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.95,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.975,1
2020-12-07,1 wk ahead inc death,2020-12-12,69,quantile,0.99,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.01,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.025,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.05,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.1,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.15,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.2,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.25,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.3,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.35,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.4,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.45,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.5,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.55,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.6,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.65,0
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.7,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.75,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.8,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.85,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.9,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.95,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.975,1
2020-12-07,2 wk ahead inc death,2020-12-19,60,quantile,0.99,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.01,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.025,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.05,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.1,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.15,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.2,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.25,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.3,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.35,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.4,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.45,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.5,0
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.55,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.6,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.65,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.7,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.75,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.8,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.85,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.9,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.95,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.975,1
2020-12-07,2 wk ahead inc death,2020-12-19,69,quantile,0.99,1
2020-12-07,3 wk ahead inc death,2020-12-26,60,quantile,0.01,0
2020-12-07,3 wk ahead inc death,2020-12-26,60,quantile,0.025,0
2020-12-07,3 wk ahead inc death,2020-12-26,60,quantile,0.05,0
2020-12-07,3 wk ahead inc death,2020-12-26,60,quantile,0.1,0
2020-12-07,3 wk ahead inc death,2020-12-26,60,quantile,0.15,0
2020-12-07,3 wk ahead inc death,2020-12-26,60,quantile,0.2,0
